CVEGEO,year,crime_count,observed_g,z_score,cluster,p_sim,significant,state,municipality
05038,2015,9.0,0.0024460460621678207,0.8604641728867166,HS,0.041,True,Coahuila de Zaragoza,Zaragoza
06001,2015,33.0,0.002665431303040069,0.9524345924084773,HS,0.042,True,Colima,Armería
06002,2015,91.0,0.0005696713046985279,0.06980971356287045,ns,0.201,False,Colima,Colima
06003,2015,2.0,0.00011789977368994659,-0.12043509444383144,ns,0.418,False,Colima,Comala
06004,2015,5.0,0.0017479936656198834,0.5664109983546701,ns,0.068,False,Colima,Coquimatlán
06005,2015,29.0,0.00034573968151668945,-0.024415646964256497,ns,0.242,False,Colima,Cuauhtémoc
06006,2015,3.0,0.0018519264060549941,0.6102281047507141,ns,0.059,False,Colima,Ixtlahuacán
06007,2015,210.0,0.00022235248933718748,-0.07614090800474999,ns,0.25,False,Colima,Manzanillo
06008,2015,4.0,0.0007448114821748494,0.14372401432540968,ns,0.145,False,Colima,Minatitlán
06009,2015,182.0,0.0005454655649609083,0.05953650963656361,ns,0.161,False,Colima,Tecomán
06010,2015,1.0,0.0005273752012882447,0.05210876682665105,ns,0.168,False,Colima,Villa de Álvarez
07001,2015,2.0,4.5290766722357535e-05,-0.15103072823019925,ns,0.438,False,Chiapas,Acacoyagua
07002,2015,3.0,5.463758030286473e-05,-0.14708917706856026,ns,0.398,False,Chiapas,Acala
07003,2015,2.0,9.662030234102943e-05,-0.12940173563270757,ns,0.391,False,Chiapas,Acapetahua
07004,2015,0.0,4.5288943459270145e-05,-0.15103774399924444,ns,0.438,False,Chiapas,Altamirano
07005,2015,1.0,4.6008741660915574e-05,-0.15073130668804263,ns,0.351,False,Chiapas,Amatán
07006,2015,0.0,4.025683863046235e-05,-0.1531582358169303,ns,0.37,False,Chiapas,Amatenango de la Frontera
07007,2015,0.0,0.0003019262897284676,-0.04289266129726717,ns,0.255,False,Chiapas,Amatenango del Valle
07008,2015,1.0,3.0193236714975845e-05,-0.1573957057581192,ns,0.262,False,Chiapas,Angel Albino Corzo
07009,2015,13.0,0.00016442511610426566,-0.10080773928810657,ns,0.325,False,Chiapas,Arriaga
07010,2015,0.0,4.025683863046235e-06,-0.16842577690426827,CS,0.049,True,Chiapas,Bejucal de Ocampo
07011,2015,0.0,4.025683863046235e-05,-0.1531582358169303,ns,0.358,False,Chiapas,Bella Vista
07012,2015,7.0,0.0016266054676490722,0.5152430208704155,ns,0.071,False,Chiapas,Berriozábal
07013,2015,7.0,3.0196883681604057e-05,-0.15737471970492642,ns,0.203,False,Chiapas,Bochil
07014,2015,0.0,0.00010869346430224835,-0.124319547096403,ns,0.374,False,Chiapas,El Bosque
07015,2015,6.0,0.0009125985572890453,0.21441358769670843,ns,0.1,False,Chiapas,Cacahoatán
07016,2015,4.0,0.00021136542061718703,-0.08104764683743829,ns,0.223,False,Chiapas,Catazajá
07017,2015,22.0,8.278682839185467e-05,-0.1351757441722618,ns,0.462,False,Chiapas,Cintalapa
07018,2015,0.0,4.6966311735539404e-05,-0.1503309133933492,ns,0.387,False,Chiapas,Coapilla
07019,2015,44.0,2.0146261861111672e-05,-0.16148993715443774,ns,0.118,False,Chiapas,Comitán de Domínguez
07020,2015,3.0,6.326456666647494e-05,-0.14345405411582773,ns,0.437,False,Chiapas,La Concordia
07021,2015,5.0,4.0260890570899426e-05,-0.15314072392820002,ns,0.326,False,Chiapas,Copainalá
07022,2015,0.0,4.8308206356554815e-05,-0.14976544890863297,ns,0.43,False,Chiapas,Chalchihuitán
07023,2015,0.0,0.00011070630623377146,-0.12347135036932867,ns,0.455,False,Chiapas,Chamula
07024,2015,0.0,0.00025591847415079637,-0.06228001505896615,ns,0.299,False,Chiapas,Chanal
07025,2015,1.0,2.7677133655394525e-05,-0.15845595106472227,ns,0.182,False,Chiapas,Chapultenango
07026,2015,1.0,5.032206119162641e-06,-0.16799815882415006,CS,0.017,True,Chiapas,Chenalhó
07027,2015,16.0,0.0007395001052506339,0.14145135116108595,ns,0.166,False,Chiapas,Chiapa de Corzo
07028,2015,0.0,2.0128419315231176e-05,-0.1616402030876736,ns,0.315,False,Chiapas,Chiapilla
07029,2015,2.0,5.703281735407985e-05,-0.1460829194660672,ns,0.44,False,Chiapas,Chicoasén
07030,2015,3.0,3.738360757564429e-05,-0.1543594229740253,ns,0.296,False,Chiapas,Chicomuselo
07031,2015,1.0,9.81280193236715e-05,-0.12876908247983582,ns,0.488,False,Chiapas,Chilón
