CVEGEO,year,crime_count,local_I,quadrant_code,cluster,p_sim,significant,state,municipality
07050,2015,0.0,0.006561102421281976,3,ns,0.145,False,Chiapas,La Libertad
07051,2015,3.0,0.021261559022329048,3,ns,0.398,False,Chiapas,Mapastepec
07052,2015,1.0,0.016707836258217878,3,ns,0.353,False,Chiapas,Las Margaritas
07053,2015,1.0,0.023021596565455126,3,ns,0.432,False,Chiapas,Mazapa de Madero
07054,2015,8.0,-0.025095687771831986,2,ns,0.092,False,Chiapas,Mazatán
07055,2015,4.0,0.020261875407755307,3,ns,0.384,False,Chiapas,Metapa
07056,2015,0.0,0.02843707051026711,3,ns,0.255,False,Chiapas,Mitontic
07057,2015,13.0,-0.0010619094832577073,2,ns,0.22,False,Chiapas,Motozintla
07058,2015,0.0,0.026754303734191336,3,ns,0.47,False,Chiapas,Nicolás Ruíz
07059,2015,6.0,0.01644537917923005,3,ns,0.444,False,Chiapas,Ocosingo
07060,2015,0.0,0.027187015190896533,3,ns,0.277,False,Chiapas,Ocotepec
07061,2015,17.0,-0.00739207324272273,2,ns,0.107,False,Chiapas,Ocozocoautla de Espinosa
07062,2015,1.0,0.021536965588817937,3,ns,0.455,False,Chiapas,Ostuacán
07063,2015,2.0,-0.07732634098384554,2,ns,0.071,False,Chiapas,Osumacinta
07064,2015,2.0,0.02451821803018093,3,ns,0.224,False,Chiapas,Oxchuc
07065,2015,30.0,-0.011579108860097762,4,ns,0.461,False,Chiapas,Palenque
07066,2015,0.0,0.02623917104763752,3,ns,0.316,False,Chiapas,Pantelhó
07067,2015,0.0,0.025852821532722163,3,ns,0.306,False,Chiapas,Pantepec
07068,2015,8.0,0.014874718789298965,3,ns,0.36,False,Chiapas,Pichucalco
07069,2015,11.0,0.009959527556477284,3,ns,0.348,False,Chiapas,Pijijiapan
07070,2015,0.0,0.024879220755135465,3,ns,0.496,False,Chiapas,El Porvenir
07071,2015,3.0,0.01723149003013249,3,ns,0.272,False,Chiapas,Villa Comaltitlán
07072,2015,10.0,0.012428596545543931,3,ns,0.421,False,Chiapas,Pueblo Nuevo Solistahuacán
07073,2015,0.0,0.025672525092428337,3,ns,0.473,False,Chiapas,Rayón
07074,2015,14.0,-0.003982319564059672,2,ns,0.156,False,Chiapas,Reforma
07075,2015,1.0,0.01137295351799416,3,ns,0.209,False,Chiapas,Las Rosas
07076,2015,1.0,0.024049418010819324,3,ns,0.499,False,Chiapas,Sabanilla
07077,2015,2.0,0.015385535517660916,3,ns,0.291,False,Chiapas,Salto de Agua
07078,2015,41.0,-0.02988441838811555,4,HL,0.015,True,Chiapas,San Cristóbal de las Casas
07079,2015,3.0,-0.07181551265831491,2,ns,0.072,False,Chiapas,San Fernando
