"mun_idx","mun_id"
1390,"20541"
1391,"20224"
1392,"20225"
1393,"20226"
1394,"20228"
1395,"20231"
1396,"20239"
1397,"20234"
1398,"20240"
1399,"20241"
1400,"20242"
1401,"20243"
1402,"20244"
1403,"20249"
1404,"20245"
1405,"20269"
1406,"20247"
1407,"20250"
1408,"20255"
1409,"20252"
1410,"20257"
1411,"20258"
1412,"20259"
1413,"20260"
1414,"20268"
1415,"20276"
1416,"20281"
1417,"20274"
1418,"20532"
1419,"20280"
1420,"20533"
1421,"20368"
1422,"20282"
1423,"20283"
1424,"20535"
1425,"20286"
1426,"20285"
1427,"20288"
1428,"20289"
1429,"20292"
1430,"20380"
1431,"20294"
1432,"20295"
1433,"20538"
1434,"20296"
1435,"20297"
1436,"20304"
1437,"20299"
1438,"20300"
1439,"20308"
1440,"20301"
1441,"20311"
1442,"20302"
1443,"20303"
1444,"20305"
1445,"20321"
1446,"20332"
1447,"20307"
1448,"20312"
1449,"20313"
1450,"20314"
1451,"20331"
1452,"20315"
1453,"20316"
1454,"20317"
1455,"20360"
1456,"20319"
1457,"20320"
1458,"20322"
1459,"20323"
1460,"20325"
1461,"20326"
1462,"20328"
1463,"20335"
1464,"20336"
1465,"20339"
1466,"20341"
1467,"20342"
1468,"20343"
1469,"20345"
1470,"20346"
1471,"20347"
1472,"20539"
1473,"20211"
1474,"20212"
1475,"20213"
1476,"20348"
1477,"20349"
1478,"20540"
1479,"20350"
1480,"20352"
1481,"20353"
1482,"20354"
1483,"20355"
1484,"20358"
1485,"20362"
1486,"20361"
1487,"20363"
1488,"20373"
1489,"20369"
1490,"20370"
1491,"20381"
1492,"20372"
1493,"20374"
1494,"20293"
1495,"20382"
1496,"20375"
1497,"20376"
1498,"20383"
1499,"20408"
1500,"20384"
1501,"20387"
1502,"20411"
1503,"20388"
1504,"20106"
1505,"20055"
1506,"20390"
1507,"20391"
1508,"20418"
1509,"20392"
1510,"20393"
1511,"20394"
1512,"20395"
1513,"20396"
1514,"20397"
1515,"20398"
1516,"20399"
1517,"20400"
1518,"20402"
1519,"20154"
1520,"20156"
1521,"20403"
1522,"20419"
1523,"20405"
1524,"20409"
1525,"20412"
1526,"20415"
1527,"20287"
1528,"20416"
1529,"20420"
1530,"20421"
1531,"20425"
1532,"20428"
1533,"20432"
1534,"20429"
1535,"20430"
1536,"20431"
1537,"20270"
1538,"20433"
1539,"20442"
1540,"20438"
1541,"20434"
1542,"20444"
1543,"20443"
1544,"20445"
1545,"20448"
1546,"20449"
1547,"20452"
1548,"20453"
1549,"20454"
1550,"20455"
1551,"20458"
1552,"20461"
1553,"20462"
1554,"20464"
1555,"20465"
1556,"20471"
1557,"20472"
1558,"20473"
1559,"20474"
1560,"20475"
1561,"20476"
1562,"20389"
1563,"20478"
1564,"20012"
1565,"20028"
1566,"20039"
1567,"20064"
1568,"20066"
1569,"20067"
1570,"20068"
1571,"20073"
1572,"20085"
1573,"20088"
1574,"20483"
1575,"20486"
1576,"20093"
1577,"20113"
1578,"20487"
1579,"20488"
1580,"20496"
1581,"20509"
1582,"20557"
1583,"20560"
1584,"20038"
1585,"20238"
1586,"21053"
1587,"21211"
1588,"21206"
1589,"21152"
1590,"21027"
1591,"21026"
1592,"21015"
1593,"21014"
1594,"21010"
1595,"21149"
1596,"21004"
1597,"21005"
1598,"21006"
1599,"21008"
1600,"21146"
1601,"21145"
1602,"21003"
1603,"21117"
1604,"21165"
1605,"21163"
1606,"21113"
1607,"21009"
1608,"21039"
1609,"21040"
1610,"21041"
1611,"21016"
1612,"21087"
1613,"21167"
1614,"21166"
1615,"21018"
1616,"21054"
1617,"21127"
1618,"21129"
1619,"21130"
1620,"21213"
1621,"21124"
1622,"21169"
1623,"21172"
1624,"21179"
1625,"21202"
1626,"21203"
1627,"21042"
1628,"21043"
1629,"21217"
1630,"21101"
1631,"21100"
1632,"21099"
1633,"21098"
1634,"21096"
1635,"21094"
1636,"21093"
1637,"21092"
1638,"21012"
1639,"21013"
1640,"21007"
1641,"21011"
1642,"21022"
1643,"21025"
1644,"21037"
1645,"21035"
1646,"21033"
1647,"21032"
1648,"21031"
1649,"21029"
1650,"21045"
1651,"21046"
1652,"21002"
1653,"21212"
1654,"21199"
1655,"21205"
1656,"21201"
1657,"21197"
1658,"21195"
1659,"21186"
1660,"21185"
1661,"21184"
1662,"21158"
1663,"21104"
1664,"21123"
1665,"21128"
1666,"21126"
1667,"21161"
1668,"21079"
1669,"21194"
1670,"21190"
1671,"21189"
1672,"21188"
1673,"21187"
1674,"21177"
1675,"21156"
1676,"21155"
1677,"21154"
1678,"21153"
1679,"21118"
1680,"21119"
1681,"21120"
1682,"21125"
1683,"21105"
1684,"21175"
1685,"21085"
1686,"21164"
1687,"21198"
1688,"21133"
1689,"21174"
1690,"21176"
1691,"21178"
1692,"21134"
1693,"21135"
1694,"21208"
1695,"21207"
1696,"21180"
1697,"21137"
1698,"21001"
