CVEGEO,year,state,municipality,crime_count,population,log_pop
7061,2015,Chiapas,Ocozocoautla de Espinosa,17,89728.0,11.404538150954208
7062,2015,Chiapas,Ostuacán,1,17768.0,9.785154365574263
7063,2015,Chiapas,Osumacinta,2,3887.5,8.26552155648749
7064,2015,Chiapas,Oxchuc,2,49141.0,10.802448995888462
7065,2015,Chiapas,Palenque,30,121591.5,11.708422344755203
7066,2015,Chiapas,Pantelhó,0,23490.0,10.064330077652958
7067,2015,Chiapas,Pantepec,0,11568.0,9.355997944398545
7068,2015,Chiapas,Pichucalco,8,30866.0,10.337410533460776
7069,2015,Chiapas,Pijijiapan,11,50636.0,10.83241806475672
7070,2015,Chiapas,El Porvenir,0,12732.0,9.451873788401983
7071,2015,Chiapas,Villa Comaltitlán,3,29098.0,10.278424722275334
7072,2015,Chiapas,Pueblo Nuevo Solistahuacán,10,30355.5,10.320732999179823
7073,2015,Chiapas,Rayón,0,9934.0,9.203718495667296
7074,2015,Chiapas,Reforma,14,42770.0,10.663592201220954
7075,2015,Chiapas,Las Rosas,1,27179.5,10.210218291656606
7076,2015,Chiapas,Sabanilla,1,27538.0,10.223322148004318
7077,2015,Chiapas,Salto de Agua,2,60752.0,11.014555282471584
7078,2015,Chiapas,San Cristóbal de las Casas,41,200895.5,12.210540151348576
7079,2015,Chiapas,San Fernando,3,37426.5,10.53013428864496
7080,2015,Chiapas,Siltepec,0,32040.0,10.374740401182295
7081,2015,Chiapas,Simojovel,10,46616.0,10.74969910882291
7082,2015,Chiapas,Sitalá,0,13893.5,9.539176383848414
7083,2015,Chiapas,Socoltenango,0,18108.5,9.80413672027979
7084,2015,Chiapas,Solosuchiapa,3,8313.0,9.025575833531088
7085,2015,Chiapas,Soyaló,0,10315.0,9.241354425505353
7086,2015,Chiapas,Suchiapa,7,23336.0,10.057752511547557
7087,2015,Chiapas,Suchiate,13,38364.0,10.554874798847841
7088,2015,Chiapas,Sunuapa,0,2271.5,7.728195685199458
7089,2015,Chiapas,Tapachula,133,337078.5,12.728071119894189
7090,2015,Chiapas,Tapalapa,0,4334.0,8.374246182096304
7091,2015,Chiapas,Tapilula,0,12881.0,9.463508636396089
7092,2015,Chiapas,Tecpatán,2,31235.5,10.349310547483237
7093,2015,Chiapas,Tenejapa,0,44215.0,10.696819377009836
7094,2015,Chiapas,Teopisca,1,43553.0,10.681733866245636
7096,2015,Chiapas,Tila,0,77468.5,11.25762668110469
7097,2015,Chiapas,Tonalá,12,88253.5,11.38796863406576
7098,2015,Chiapas,Totolapa,0,6793.0,8.823647949191303
7099,2015,Chiapas,La Trinitaria,5,77940.0,11.2636945788927
7100,2015,Chiapas,Tumbalá,0,34874.0,10.459496844877439
7101,2015,Chiapas,Tuxtla Gutiérrez,377,578760.5,13.268644026766603
7102,2015,Chiapas,Tuxtla Chico,2,39380.5,10.58102604891292
7103,2015,Chiapas,Tuzantán,5,29219.5,10.282591573590866
7104,2015,Chiapas,Tzimol,1,15284.5,9.63459452198093
7105,2015,Chiapas,Unión Juárez,1,15048.5,9.619033597435772
7106,2015,Chiapas,Venustiano Carranza,3,64316.5,11.07157148694939
7107,2015,Chiapas,Villa Corzo,1,70060.0,11.157107296751478
7108,2015,Chiapas,Villaflores,12,104077.0,11.552886288789415
7109,2015,Chiapas,Yajalón,1,37156.5,10.522894001193702
7110,2015,Chiapas,San Lucas,0,7130.0,8.872066513408342
7111,2015,Chiapas,Zinacantán,0,40931.0,10.619643001144993
7112,2015,Chiapas,San Juan Cancuc,0,33482.0,10.41876325997573
7113,2015,Chiapas,Aldama,1,6776.0,8.821142236331891
7114,2015,Chiapas,Benemérito de las Américas,0,20442.5,9.925371346036131
7115,2015,Chiapas,Maravilla Tenejapa,0,13082.5,9.479030738246363
7116,2015,Chiapas,Marqués de Comillas,0,11374.0,9.339085327866744
7117,2015,Chiapas,Montecristo de Guerrero,0,7656.0,8.94324493313279
7118,2015,Chiapas,San Andrés Duraznal,0,5296.0,8.574707097616844
7119,2015,Chiapas,Santiago el Pinar,1,4102.0,8.319229938632326
7120,2015,,,0,,
7121,2015,,,0,,
7122,2015,,,0,,
7123,2015,,,0,,
7124,2015,,,0,,
7125,2015,,,0,,
8001,2015,Chihuahua,Ahumada,11,13046.0,9.476236852356042
8002,2015,Chihuahua,Aldama,9,24174.5,10.09305363758434
8003,2015,Chihuahua,Allende,2,8448.0,9.041685005946043
8004,2015,Chihuahua,Aquiles Serdán,1,17516.0,9.770870027921289
8005,2015,Chihuahua,Ascensión,2,25034.0,10.127990179887968
8006,2015,Chihuahua,Bachíniva,0,5909.0,8.684231891345675
8007,2015,Chihuahua,Balleza,0,17056.0,9.74425732696557
8008,2015,Chihuahua,Batopilas de Manuel Gómez Morín,0,12816.0,9.458449669308141
8009,2015,Chihuahua,Bocoyna,5,26058.5,10.168099289544099
8010,2015,Chihuahua,Buenaventura,4,23762.0,10.075842945018232
8011,2015,Chihuahua,Camargo,12,49123.5,10.802092814354234
8012,2015,Chihuahua,Carichí,0,8454.0,9.042394981126735
8013,2015,Chihuahua,Casas Grandes,1,11201.0,9.32375833901174
8014,2015,Chihuahua,Coronado,0,2159.0,7.677400430514807
8015,2015,Chihuahua,Coyame del Sotol,0,1455.5,7.283104763185678
8016,2015,Chihuahua,La Cruz,0,3843.0,8.254008590564844
8017,2015,Chihuahua,Cuauhtémoc,31,167638.5,12.029565154253808
8018,2015,Chihuahua,Cusihuiriachi,1,5256.5,8.567220685015885
8019,2015,Chihuahua,Chihuahua,1383,878608.5,13.68609468495915
8020,2015,Chihuahua,Chínipas,0,7331.5,8.899935412417134
8021,2015,Chihuahua,Delicias,69,144219.0,11.87908825659565
8022,2015,Chihuahua,Dr. Belisario Domínguez,0,2683.5,7.894877191616883
8023,2015,Chihuahua,Galeana,0,6274.0,8.744169388750624
8024,2015,Chihuahua,Santa Isabel,1,3864.0,8.259458195332408
8025,2015,Chihuahua,Gómez Farías,0,7823.5,8.964887303742112
8026,2015,Chihuahua,Gran Morelos,1,2828.5,7.947501814783211
8027,2015,Chihuahua,Guachochi,9,49934.5,10.818467425610182
8028,2015,Chihuahua,Guadalupe,1,5347.5,8.58438444095656
8029,2015,Chihuahua,Guadalupe y Calvo,1,52006.5,10.859123989751716
8030,2015,Chihuahua,Guazapares,0,8597.0,9.059168584174444
8031,2015,Chihuahua,Guerrero,3,37549.5,10.5334153415244
8032,2015,Chihuahua,Hidalgo del Parral,158,111861.5,11.625016777904838
8033,2015,Chihuahua,Huejotitán,0,936.5,6.842149521884143
8034,2015,Chihuahua,Ignacio Zaragoza,0,6065.0,8.71028982137815
8035,2015,Chihuahua,Janos,1,10979.0,9.303739636234733
8036,2015,Chihuahua,Jiménez,14,41062.0,10.622838398592709
8037,2015,Chihuahua,Juárez,1923,1422290.5,14.167779158213788
8038,2015,Chihuahua,Julimes,1,4966.5,8.51047064565541
8039,2015,Chihuahua,López,0,4073.5,8.312257859750696
8040,2015,Chihuahua,Madera,3,27377.5,10.217476787149915
8041,2015,Chihuahua,Maguarichi,0,1611.5,7.384920701255493
8042,2015,Chihuahua,Manuel Benavides,0,1389.5,7.236699249182559
8043,2015,Chihuahua,Matachí,0,2923.0,7.980365765111246
8044,2015,Chihuahua,Matamoros,0,4406.5,8.390836002539714
8045,2015,Chihuahua,Meoqui,19,44343.0,10.699710139880182
8046,2015,Chihuahua,Morelos,0,7804.5,8.962455769398469
8047,2015,Chihuahua,Moris,0,4879.5,8.492798034581515
8048,2015,Chihuahua,Namiquipa,2,22796.0,10.03434036095489
8049,2015,Chihuahua,Nonoava,0,2803.0,7.938445551164788
8050,2015,Chihuahua,Nuevo Casas Grandes,14,62545.0,11.043641576648842
8051,2015,Chihuahua,Ocampo,2,7836.5,8.966547585094123
8052,2015,Chihuahua,Ojinaga,5,25419.0,10.143252204866574
8053,2015,Chihuahua,Praxedis G. Guerrero,0,4955.0,8.508152446764088
8054,2015,Chihuahua,Riva Palacio,0,7853.5,8.968714571283087
8055,2015,Chihuahua,Rosales,0,16780.5,9.727972776955095
8056,2015,Chihuahua,Rosario,1,2157.0,7.676473646389156
8057,2015,Chihuahua,San Francisco de Borja,0,2243.5,7.715792425416038
8058,2015,Chihuahua,San Francisco de Conchos,0,2839.5,7.951383259317487
8059,2015,Chihuahua,San Francisco del Oro,1,4878.5,8.492593074548004
8060,2015,Chihuahua,Santa Bárbara,6,11004.5,9.306059559034727
8061,2015,Chihuahua,Satevó,2,3538.0,8.17131687471973
8062,2015,Chihuahua,Saucillo,10,31093.5,10.344754073107676
8063,2015,Chihuahua,Temósachic,0,5765.5,8.65964715921117
8064,2015,Chihuahua,El Tule,1,1658.5,7.4136688583871075
8065,2015,Chihuahua,Urique,1,18714.5,9.8370539034441
8066,2015,Chihuahua,Uruachi,0,7356.0,8.903271585724212
8067,2015,Chihuahua,Valle de Zaragoza,0,4940.0,8.505120610181969
9002,2015,Ciudad de México,Azcapotzalco,293,423458.0,12.956209614602505
9003,2015,Ciudad de México,Coyoacán,813,617431.5,13.333323410156863
9004,2015,Ciudad de México,Cuajimalpa de Morelos,164,202038.5,12.216213552282008
9005,2015,Ciudad de México,Gustavo A. Madero,525,1179561.5,13.980653317208187
9006,2015,Ciudad de México,Iztacalco,174,394510.5,12.885401034883449
9007,2015,Ciudad de México,Iztapalapa,651,1825636.0,14.41743897743978
9008,2015,Ciudad de México,La Magdalena Contreras,58,243354.0,12.402272452356836
9009,2015,Ciudad de México,Milpa Alta,9,141633.5,11.86099801418157
9010,2015,Ciudad de México,Álvaro Obregón,480,743085.5,13.518566391103615
9011,2015,Ciudad de México,Tláhuac,37,376289.0,12.838112744158517
9012,2015,Ciudad de México,Tlalpan,405,675247.5,13.422834569315539
9013,2015,Ciudad de México,Xochimilco,99,428592.5,12.968261863035096
9014,2015,Ciudad de México,Benito Juárez,858,409796.0,12.923414753880344
9015,2015,Ciudad de México,Cuauhtémoc,1077,538857.5,13.19720643645832
9016,2015,Ciudad de México,Miguel Hidalgo,431,393679.5,12.883292405471995
9017,2015,Ciudad de México,Venustiano Carranza,334,437341.0,12.98846849015221
10001,2015,Durango,Canatlán,1,31427.5,10.355438584788986
10002,2015,Durango,Canelas,0,4221.5,8.347945794109554
10003,2015,Durango,Coneto de Comonfort,0,4307.0,8.36799688505411
10004,2015,Durango,Cuencamé,0,34309.5,10.443177562735524
10005,2015,Durango,Durango,191,635482.0,13.362139045056301
10006,2015,Durango,General Simón Bolívar,0,10333.5,9.24314632370136
