,CVEGEO,year,state,municipality,crime_count
274,08067,2015,Chihuahua,Valle de Zaragoza,0
275,09002,2015,Ciudad de México,Azcapotzalco,293
276,09003,2015,Ciudad de México,Coyoacán,813
277,09004,2015,Ciudad de México,Cuajimalpa de Morelos,164
278,09005,2015,Ciudad de México,Gustavo A. Madero,525
279,09006,2015,Ciudad de México,Iztacalco,174
280,09007,2015,Ciudad de México,Iztapalapa,651
281,09008,2015,Ciudad de México,La Magdalena Contreras,58
282,09009,2015,Ciudad de México,Milpa Alta,9
283,09010,2015,Ciudad de México,Álvaro Obregón,480
284,09011,2015,Ciudad de México,Tláhuac,37
285,09012,2015,Ciudad de México,Tlalpan,405
286,09013,2015,Ciudad de México,Xochimilco,99
287,09014,2015,Ciudad de México,Benito Juárez,858
288,09015,2015,Ciudad de México,Cuauhtémoc,1077
289,09016,2015,Ciudad de México,Miguel Hidalgo,431
290,09017,2015,Ciudad de México,Venustiano Carranza,334
291,10001,2015,Durango,Canatlán,1
292,10002,2015,Durango,Canelas,0
293,10003,2015,Durango,Coneto de Comonfort,0
294,10004,2015,Durango,Cuencamé,0
295,10005,2015,Durango,Durango,191
296,10006,2015,Durango,General Simón Bolívar,0
297,10007,2015,Durango,Gómez Palacio,85
298,10008,2015,Durango,Guadalupe Victoria,6
299,10009,2015,Durango,Guanaceví,0
300,10010,2015,Durango,Hidalgo,0
301,10011,2015,Durango,Indé,0
302,10012,2015,Durango,Lerdo,17
303,10013,2015,Durango,Mapimí,5
304,10014,2015,Durango,Mezquital,0
305,10015,2015,Durango,Nazas,1
306,10016,2015,Durango,Nombre de Dios,0
307,10017,2015,Durango,Ocampo,0
308,10018,2015,Durango,El Oro,1
309,10019,2015,Durango,Otáez,0
310,10020,2015,Durango,Pánuco de Coronado,0
311,10021,2015,Durango,Peñón Blanco,1
312,10022,2015,Durango,Poanas,2
313,10023,2015,Durango,Pueblo Nuevo,13
314,10024,2015,Durango,Rodeo,1
315,10025,2015,Durango,San Bernardo,0
316,10026,2015,Durango,San Dimas,4
317,10027,2015,Durango,San Juan de Guadalupe,0
318,10028,2015,Durango,San Juan del Río,1
319,10029,2015,Durango,San Luis del Cordero,0
320,10030,2015,Durango,San Pedro del Gallo,0
321,10031,2015,Durango,Santa Clara,0
322,10032,2015,Durango,Santiago Papasquiaro,12
323,10033,2015,Durango,Súchil,7
324,10034,2015,Durango,Tamazula,0
325,10035,2015,Durango,Tepehuanes,0
326,10036,2015,Durango,Tlahualilo,0
327,10037,2015,Durango,Topia,1
328,10038,2015,Durango,Vicente Guerrero,7
329,10039,2015,Durango,Nuevo Ideal,1
330,11001,2015,Guanajuato,Abasolo,42
331,11002,2015,Guanajuato,Acámbaro,37
332,11003,2015,Guanajuato,San Miguel de Allende,114
333,11004,2015,Guanajuato,Apaseo el Alto,9
334,11005,2015,Guanajuato,Apaseo el Grande,14
335,11006,2015,Guanajuato,Atarjea,0
336,11007,2015,Guanajuato,Celaya,208
337,11008,2015,Guanajuato,Manuel Doblado,18
338,11009,2015,Guanajuato,Comonfort,15
339,11010,2015,Guanajuato,Coroneo,0
340,11011,2015,Guanajuato,Cortazar,26
341,11012,2015,Guanajuato,Cuerámaro,13
342,11013,2015,Guanajuato,Doctor Mora,1
343,11014,2015,Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,32
344,11015,2015,Guanajuato,Guanajuato,144
345,11016,2015,Guanajuato,Huanímaro,7
346,11017,2015,Guanajuato,Irapuato,275
347,11018,2015,Guanajuato,Jaral del Progreso,11
348,11019,2015,Guanajuato,Jerécuaro,17
349,11020,2015,Guanajuato,León,2033
350,11021,2015,Guanajuato,Moroleón,29
351,11022,2015,Guanajuato,Ocampo,9
352,11023,2015,Guanajuato,Pénjamo,64
353,11024,2015,Guanajuato,Pueblo Nuevo,4
354,11025,2015,Guanajuato,Purísima del Rincón,157
355,11026,2015,Guanajuato,Romita,8
356,11027,2015,Guanajuato,Salamanca,141
357,11028,2015,Guanajuato,Salvatierra,20
358,11029,2015,Guanajuato,San Diego de la Unión,2
359,11030,2015,Guanajuato,San Felipe,34
360,11031,2015,Guanajuato,San Francisco del Rincón,263
361,11032,2015,Guanajuato,San José Iturbide,18
362,11033,2015,Guanajuato,San Luis de la Paz,35
363,11034,2015,Guanajuato,Santa Catarina,0
364,11035,2015,Guanajuato,Santa Cruz de Juventino Rosas,27
365,11036,2015,Guanajuato,Santiago Maravatío,4
366,11037,2015,Guanajuato,Silao de la Victoria,48
367,11038,2015,Guanajuato,Tarandacuao,3
368,11039,2015,Guanajuato,Tarimoro,3
369,11040,2015,Guanajuato,Tierra Blanca,0
370,11041,2015,Guanajuato,Uriangato,33
371,11042,2015,Guanajuato,Valle de Santiago,71
372,11043,2015,Guanajuato,Victoria,3
373,11044,2015,Guanajuato,Villagrán,13
374,11045,2015,Guanajuato,Xichú,0
375,11046,2015,Guanajuato,Yuriria,18
376,12001,2015,Guerrero,Acapulco de Juárez,241
377,12002,2015,Guerrero,Ahuacuotzingo,0
378,12003,2015,Guerrero,Ajuchitlán del Progreso,8
379,12004,2015,Guerrero,Alcozauca de Guerrero,0
380,12005,2015,Guerrero,Alpoyeca,0
381,12006,2015,Guerrero,Apaxtla,0
382,12007,2015,Guerrero,Arcelia,19
383,12008,2015,Guerrero,Atenango del Río,0
384,12009,2015,Guerrero,Atlamajalcingo del Monte,2
385,12010,2015,Guerrero,Atlixtac,0
386,12011,2015,Guerrero,Atoyac de Álvarez,3
387,12012,2015,Guerrero,Ayutla de los Libres,1
388,12013,2015,Guerrero,Azoyú,2
389,12014,2015,Guerrero,Benito Juárez,1
390,12015,2015,Guerrero,Buenavista de Cuéllar,1
391,12016,2015,Guerrero,Coahuayutla de José María Izazaga,0
392,12017,2015,Guerrero,Cocula,1
393,12018,2015,Guerrero,Copala,1
394,12019,2015,Guerrero,Copalillo,2
395,12020,2015,Guerrero,Copanatoyac,1
396,12021,2015,Guerrero,Coyuca de Benítez,18
397,12022,2015,Guerrero,Coyuca de Catalán,11
398,12023,2015,Guerrero,Cuajinicuilapa,0
399,12024,2015,Guerrero,Cualác,0
400,12025,2015,Guerrero,Cuautepec,0
401,12026,2015,Guerrero,Cuetzala del Progreso,1
402,12027,2015,Guerrero,Cutzamala de Pinzón,2
403,12028,2015,Guerrero,Chilapa de Álvarez,9
404,12029,2015,Guerrero,Chilpancingo de los Bravo,77
405,12030,2015,Guerrero,Florencio Villarreal,1
406,12031,2015,Guerrero,General Canuto A. Neri,1
407,12032,2015,Guerrero,General Heliodoro Castillo,2
408,12033,2015,Guerrero,Huamuxtitlán,0
409,12034,2015,Guerrero,Huitzuco de los Figueroa,1
410,12035,2015,Guerrero,Iguala de la Independencia,30
411,12036,2015,Guerrero,Igualapa,0
412,12037,2015,Guerrero,Ixcateopan de Cuauhtémoc,0
413,12038,2015,Guerrero,Zihuatanejo de Azueta,13
414,12039,2015,Guerrero,Juan R. Escudero,0
415,12040,2015,Guerrero,Leonardo Bravo,5
416,12041,2015,Guerrero,Malinaltepec,1
417,12042,2015,Guerrero,Mártir de Cuilapan,0
418,12043,2015,Guerrero,Metlatónoc,1
419,12044,2015,Guerrero,Mochitlán,0
420,12045,2015,Guerrero,Olinalá,0
421,12046,2015,Guerrero,Ometepec,3
422,12047,2015,Guerrero,Pedro Ascencio Alquisiras,0
423,12048,2015,Guerrero,Petatlán,1
424,12049,2015,Guerrero,Pilcaya,0
425,12050,2015,Guerrero,Pungarabato,13
426,12051,2015,Guerrero,Quechultenango,0
427,12052,2015,Guerrero,San Luis Acatlán,0
